STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/17/07,0,0,0,,50,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/18/07,0,0,0,,52,39
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/19/07,0,0,0,,44,40
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/20/07,0,0,0,,59,44
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/21/07,0,0,0,,73,43
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/22/07,0,0,0,,74,41
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/23/07,0,0,0,,44,28
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/24/07,0,0,0,,42,22
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/25/07,0,0,0,,53,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/26/07,0.16,0,0,,64,44
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/27/07,0,0,0,,64,41
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/28/07,0,0,0,,45,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/29/07,0,0,0,,58,30
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",11/30/07,0,0,0,,48,27
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/1/07,0,0,0,,43,26
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/2/07,0.46,0,0,,42,32
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/3/07,0.03,0,0,,51,36
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",12/4/07,0,0,0,,38,27
